Type,Size,Trigger,Design,Has_CTA,Position,Content_Type,Category
Slide-in,Medium,Page Load,Intrusive,Yes,Top Right,Ad,Ambiguous
Dialog,Large,Click,Modern,Yes,Top,Offer,Well-Defined
Tooltip,Small,Timer,Aggressive,Yes,Top Right,Survey,Ambiguous
Dialog,Medium,Scroll,Clean,Yes,Full Page,Recommendation,Well-Defined
Notification Bar,Medium,On Load,Simple,No,Top Left,Newsletter,Less Well-Defined
Fullscreen,Medium,Click,Soft,Yes,Center,Ad,Well-Defined
Fullscreen,Large,Click,Clean,No,Center,Recommendation,Well-Defined
Modal,Large,Click,Clean,No,Bottom Right,Recommendation,Well-Defined
Banner,Small,Hover,Clean,No,Bottom Left,Help,Less Well-Defined
Fullscreen,Medium,Exit Intent,Clean,No,Full Page,Alert,Well-Defined
Fullscreen,Large,On Load,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Exit Popup,Thin,Hover,Intrusive,No,Center,Reminder,Ambiguous
Exit Popup,Small,Hover,Aggressive,Yes,Top,Survey,Ambiguous
Banner,Medium,Scroll,Soft,No,Bottom Right,Alert,Well-Defined
Floating Box,Small,Hover,Basic,No,Top,Help,Ambiguous
Dialog,Medium,Exit Intent,Bold,Yes,Center,Alert,Well-Defined
Dialog,Large,Click,Modern,Yes,Full Page,Alert,Well-Defined
Notification Bar,Medium,Hover,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Medium,Timer,Bold,No,Bottom Left,Offer,Less Well-Defined
Tooltip,Thin,Page Load,Basic,No,Center,Reminder,Ambiguous
Banner,Medium,On Load,Flat,Yes,Top Left,Discount,Less Well-Defined
Slide-in,Small,On Load,Simple,No,Top Left,Newsletter,Less Well-Defined
Banner,Medium,On Load,Bold,Yes,Top Left,Offer,Less Well-Defined
Exit Popup,Thin,Page Load,Flat,No,Top Right,Survey,Ambiguous
Slide-in,Medium,Page Load,Flat,No,Center,Help,Ambiguous
Modal,Large,Exit Intent,Soft,Yes,Full Page,Alert,Well-Defined
Floating Box,Thin,Hover,Basic,Yes,Top,Reminder,Ambiguous
Fullscreen,Medium,Click,Bold,No,Center,Ad,Well-Defined
Tooltip,Medium,Page Load,Flat,Yes,Center,Survey,Ambiguous
Floating Box,Medium,Timer,Flat,Yes,Top Right,Ad,Ambiguous
Dialog,Medium,On Load,Clean,No,Bottom,Discount,Less Well-Defined
Banner,Small,On Load,Simple,No,Bottom Left,Help,Less Well-Defined
Modal,Large,Click,Modern,Yes,Full Page,Recommendation,Ambiguous
Notification Bar,Small,Hover,Simple,Yes,Top Left,Newsletter,Less Well-Defined
Notification Bar,Medium,Hover,Flat,Yes,Bottom Left,Help,Less Well-Defined
Fullscreen,Medium,Click,Clean,No,Top,Alert,Less Well-Defined
Banner,Medium,Hover,Clean,Yes,Bottom Left,Help,Less Well-Defined
Slide-in,Medium,On Load,Bold,No,Bottom Left,Offer,Less Well-Defined
Dialog,Medium,On Load,Flat,Yes,Top Left,Offer,Less Well-Defined
Modal,Medium,Scroll,Modern,No,Center,Recommendation,Well-Defined
Floating Box,Small,Page Load,Basic,Yes,Top Right,Help,Ambiguous
Tooltip,Medium,Hover,Flat,No,Top,Survey,Ambiguous
Banner,Large,Exit Intent,Soft,No,Top,Recommendation,Less Well-Defined
Banner,Medium,On Load,Soft,Yes,Full Page,Offer,Ambiguous
Fullscreen,Medium,On Load,Clean,No,Full Page,Ad,Well-Defined
Tooltip,Thin,Hover,Basic,Yes,Top Right,Survey,Ambiguous
Dialog,Large,Scroll,Clean,No,Bottom Right,Ad,Well-Defined
Slide-in,Medium,Page Load,Intrusive,No,Center,Survey,Ambiguous
Banner,Medium,Exit Intent,Clean,No,Bottom Right,Ad,Ambiguous
Dialog,Small,Hover,Flat,Yes,Bottom Left,Discount,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,Yes,Top,Help,Ambiguous
Slide-in,Medium,On Load,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Small,Timer,Flat,Yes,Bottom Left,Help,Less Well-Defined
Dialog,Medium,Timer,Clean,No,Top Left,Discount,Less Well-Defined
Banner,Medium,Scroll,Modern,Yes,Top,Alert,Well-Defined
Exit Popup,Thin,Hover,Intrusive,No,Top,Survey,Ambiguous
Banner,Medium,Hover,Simple,Yes,Bottom,Offer,Less Well-Defined
Dialog,Medium,Timer,Bold,Yes,Top Left,Offer,Less Well-Defined
Notification Bar,Small,Hover,Clean,No,Bottom Left,Discount,Less Well-Defined
Banner,Small,Hover,Clean,No,Bottom Left,Discount,Less Well-Defined
Tooltip,Small,Hover,Intrusive,Yes,Top,Reminder,Ambiguous
Exit Popup,Thin,Page Load,Intrusive,Yes,Top Right,Reminder,Ambiguous
Modal,Large,Exit Intent,Soft,No,Center,Recommendation,Well-Defined
Tooltip,Small,Page Load,Basic,No,Top Right,Help,Ambiguous
Slide-in,Medium,Timer,Clean,Yes,Top Left,Discount,Ambiguous
Notification Bar,Small,On Load,Flat,Yes,Bottom,Newsletter,Less Well-Defined
Floating Box,Medium,Timer,Basic,No,Center,Help,Ambiguous
Dialog,Large,Exit Intent,Bold,No,Bottom Right,Recommendation,Well-Defined
Notification Bar,Medium,Hover,Flat,No,Top Left,Discount,Less Well-Defined
Fullscreen,Large,Exit Intent,Clean,No,Bottom Right,Recommendation,Well-Defined
Dialog,Medium,Hover,Clean,Yes,Bottom,Offer,Less Well-Defined
Exit Popup,Small,Page Load,Basic,No,Top,Survey,Well-Defined
Tooltip,Thin,Hover,Aggressive,No,Top,Help,Ambiguous
Exit Popup,Medium,Hover,Aggressive,Yes,Top Right,Ad,Ambiguous
Banner,Medium,Exit Intent,Modern,No,Center,Ad,Ambiguous
Slide-in,Small,On Load,Flat,Yes,Top Left,Discount,Less Well-Defined
Dialog,Medium,Exit Intent,Modern,Yes,Bottom Right,Offer,Well-Defined
Dialog,Medium,Exit Intent,Clean,No,Full Page,Alert,Well-Defined
Exit Popup,Thin,Hover,Basic,Yes,Top,Help,Ambiguous
Fullscreen,Large,Click,Modern,No,Center,Alert,Well-Defined
Banner,Medium,On Load,Flat,Yes,Bottom Left,Offer,Less Well-Defined
Fullscreen,Large,Exit Intent,Modern,No,Bottom Right,Offer,Well-Defined
Tooltip,Thin,Timer,Flat,No,Top Right,Survey,Ambiguous
Dialog,Medium,On Load,Flat,Yes,Bottom Left,Discount,Ambiguous
Dialog,Large,Scroll,Modern,Yes,Bottom Right,Alert,Well-Defined
Banner,Small,Timer,Simple,Yes,Bottom Left,Offer,Less Well-Defined
Dialog,Medium,Timer,Bold,No,Top Left,Newsletter,Less Well-Defined
Slide-in,Thin,Timer,Flat,Yes,Center,Reminder,Ambiguous
Banner,Large,Scroll,Bold,No,Bottom Right,Offer,Well-Defined
Fullscreen,Large,Scroll,Clean,Yes,Full Page,Recommendation,Well-Defined
Slide-in,Medium,Hover,Aggressive,Yes,Top,Survey,Ambiguous
Banner,Small,Hover,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Modal,Medium,Click,Clean,No,Full Page,Ad,Well-Defined
Modal,Large,Scroll,Soft,Yes,Center,Ad,Well-Defined
Fullscreen,Medium,Exit Intent,Clean,No,Bottom Right,Ad,Well-Defined
Tooltip,Thin,Timer,Intrusive,No,Top,Survey,Ambiguous
Notification Bar,Medium,On Load,Flat,Yes,Top Left,Newsletter,Less Well-Defined
Tooltip,Small,Hover,Aggressive,Yes,Top Right,Survey,Ambiguous
Exit Popup,Medium,Hover,Flat,Yes,Top Right,Survey,Ambiguous
Dialog,Large,Click,Modern,No,Top,Ad,Well-Defined
Banner,Small,Timer,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Exit Popup,Small,Hover,Aggressive,Yes,Top Right,Reminder,Ambiguous
Floating Box,Thin,Page Load,Intrusive,No,Center,Help,Ambiguous
Tooltip,Thin,Hover,Basic,No,Top Right,Help,Ambiguous
Floating Box,Small,Page Load,Aggressive,Yes,Top Right,Reminder,Ambiguous
Modal,Large,Click,Soft,No,Center,Recommendation,Well-Defined
Modal,Large,Click,Modern,Yes,Full Page,Recommendation,Well-Defined
Notification Bar,Medium,On Load,Flat,No,Bottom Left,Discount,Less Well-Defined
Slide-in,Thin,Timer,Flat,No,Top,Ad,Ambiguous
Slide-in,Medium,On Load,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Tooltip,Thin,Page Load,Basic,No,Top Right,Help,Ambiguous
Dialog,Medium,Exit Intent,Clean,Yes,Full Page,Ad,Well-Defined
Floating Box,Thin,Hover,Aggressive,No,Top,Help,Ambiguous
Slide-in,Medium,Timer,Flat,No,Bottom Left,Offer,Less Well-Defined
Dialog,Large,Click,Bold,Yes,Bottom Right,Offer,Well-Defined
Slide-in,Medium,Page Load,Intrusive,No,Center,Survey,Well-Defined
Fullscreen,Large,Exit Intent,Clean,Yes,Center,Recommendation,Well-Defined
Tooltip,Small,Page Load,Aggressive,Yes,Top Right,Reminder,Ambiguous
Banner,Small,Timer,Flat,No,Bottom,Newsletter,Less Well-Defined
Floating Box,Thin,Hover,Basic,No,Center,Reminder,Ambiguous
Banner,Small,On Load,Bold,No,Top Left,Discount,Less Well-Defined
Exit Popup,Small,Hover,Intrusive,Yes,Top Right,Ad,Ambiguous
Slide-in,Thin,Timer,Flat,Yes,Top Right,Help,Ambiguous
Banner,Small,Timer,Bold,No,Top Left,Offer,Less Well-Defined
Modal,Medium,Click,Bold,No,Top,Recommendation,Well-Defined
Dialog,Large,Scroll,Modern,No,Full Page,Alert,Well-Defined
Exit Popup,Thin,Page Load,Basic,Yes,Top,Survey,Ambiguous
Dialog,Medium,Exit Intent,Modern,Yes,Bottom Right,Ad,Well-Defined
Dialog,Small,Hover,Flat,Yes,Bottom,Discount,Less Well-Defined
Banner,Medium,Exit Intent,Soft,Yes,Center,Offer,Well-Defined
Banner,Large,Scroll,Clean,No,Center,Offer,Well-Defined
Slide-in,Medium,Timer,Clean,No,Top Left,Help,Less Well-Defined
Tooltip,Thin,Page Load,Aggressive,Yes,Top,Help,Ambiguous
Tooltip,Thin,Hover,Intrusive,Yes,Top,Reminder,Ambiguous
Floating Box,Small,Timer,Aggressive,Yes,Top Right,Ad,Ambiguous
Modal,Large,Exit Intent,Soft,No,Center,Ad,Well-Defined
Fullscreen,Medium,On Load,Modern,Yes,Bottom Right,Offer,Well-Defined
Fullscreen,Large,Scroll,Modern,No,Center,Ad,Well-Defined
Banner,Small,Hover,Bold,Yes,Top Left,Help,Ambiguous
Modal,Medium,Scroll,Bold,Yes,Full Page,Offer,Well-Defined
Exit Popup,Medium,Page Load,Flat,No,Top Right,Survey,Ambiguous
Banner,Large,Click,Clean,No,Full Page,Ad,Well-Defined
Dialog,Large,Exit Intent,Bold,Yes,Center,Recommendation,Well-Defined
Exit Popup,Small,Hover,Aggressive,No,Top Right,Survey,Ambiguous
Tooltip,Small,Page Load,Intrusive,Yes,Center,Ad,Ambiguous
Fullscreen,Large,Exit Intent,Modern,Yes,Bottom Right,Ad,Well-Defined
Slide-in,Small,On Load,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Dialog,Large,Click,Clean,Yes,Center,Alert,Well-Defined
Banner,Medium,Exit Intent,Modern,Yes,Top,Ad,Well-Defined
Notification Bar,Medium,On Load,Flat,No,Top Left,Newsletter,Less Well-Defined
Exit Popup,Medium,Hover,Flat,Yes,Center,Help,Ambiguous
Tooltip,Thin,Timer,Basic,No,Top Right,Survey,Ambiguous
Floating Box,Thin,Hover,Intrusive,No,Top Right,Help,Ambiguous
Fullscreen,Large,Click,Modern,Yes,Bottom Right,Recommendation,Well-Defined
Slide-in,Small,Hover,Bold,Yes,Bottom,Discount,Less Well-Defined
Fullscreen,Large,Click,Modern,No,Bottom Right,Ad,Well-Defined
Banner,Medium,On Load,Flat,Yes,Top Left,Offer,Less Well-Defined
Notification Bar,Small,On Load,Flat,No,Bottom Left,Offer,Less Well-Defined
Tooltip,Small,Page Load,Flat,No,Center,Help,Less Well-Defined
Tooltip,Small,Hover,Intrusive,No,Top,Survey,Ambiguous
Dialog,Medium,Timer,Bold,No,Bottom Left,Offer,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,No,Center,Reminder,Ambiguous
Banner,Medium,On Load,Clean,No,Center,Alert,Well-Defined
Notification Bar,Small,Timer,Simple,No,Bottom Left,Offer,Less Well-Defined
Modal,Large,Click,Modern,No,Center,Alert,Well-Defined
Slide-in,Small,On Load,Simple,No,Bottom Left,Offer,Less Well-Defined
Slide-in,Small,Hover,Simple,Yes,Bottom,Help,Ambiguous
Fullscreen,Medium,Click,Bold,No,Top,Alert,Well-Defined
Modal,Medium,Exit Intent,Modern,No,Center,Recommendation,Well-Defined
Slide-in,Medium,Page Load,Aggressive,Yes,Top Right,Ad,Ambiguous
Modal,Large,Exit Intent,Clean,Yes,Bottom Right,Alert,Well-Defined
Slide-in,Small,Timer,Bold,No,Top Left,Newsletter,Less Well-Defined
Fullscreen,Medium,Click,Clean,No,Top,Recommendation,Well-Defined
Exit Popup,Small,Page Load,Flat,No,Top,Reminder,Ambiguous
Notification Bar,Medium,Timer,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Slide-in,Medium,Hover,Flat,Yes,Center,Reminder,Ambiguous
Modal,Medium,Exit Intent,Soft,No,Bottom Right,Alert,Well-Defined
Slide-in,Thin,Timer,Basic,Yes,Top Right,Survey,Ambiguous
Exit Popup,Small,Page Load,Basic,Yes,Top,Help,Ambiguous
Tooltip,Small,Hover,Intrusive,No,Center,Reminder,Ambiguous
Floating Box,Medium,Page Load,Flat,No,Top,Ad,Ambiguous
Slide-in,Medium,On Load,Simple,No,Top Left,Offer,Less Well-Defined
Slide-in,Small,Page Load,Basic,Yes,Top,Survey,Ambiguous
Dialog,Large,On Load,Bold,Yes,Center,Recommendation,Well-Defined
Tooltip,Thin,Timer,Flat,Yes,Top,Reminder,Ambiguous
Tooltip,Medium,Timer,Flat,Yes,Top Right,Help,Less Well-Defined
Slide-in,Medium,On Load,Simple,Yes,Bottom Left,Newsletter,Less Well-Defined
Dialog,Small,Timer,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Floating Box,Medium,Hover,Flat,No,Top,Help,Ambiguous
Banner,Medium,Timer,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Floating Box,Small,Page Load,Basic,Yes,Center,Reminder,Ambiguous
Tooltip,Thin,Hover,Basic,No,Top Right,Reminder,Ambiguous
Modal,Medium,Exit Intent,Clean,No,Top,Offer,Well-Defined
Modal,Large,Scroll,Modern,No,Full Page,Recommendation,Well-Defined
Modal,Large,Scroll,Clean,Yes,Center,Alert,Well-Defined
Dialog,Small,On Load,Simple,Yes,Bottom,Help,Less Well-Defined
Dialog,Large,Exit Intent,Soft,Yes,Center,Recommendation,Well-Defined
Slide-in,Thin,Page Load,Aggressive,Yes,Top,Help,Well-Defined
Floating Box,Small,Timer,Intrusive,No,Top Right,Reminder,Less Well-Defined
Fullscreen,Large,Scroll,Bold,Yes,Full Page,Alert,Well-Defined
Exit Popup,Thin,Hover,Basic,Yes,Top Right,Survey,Ambiguous
Fullscreen,Large,Scroll,Modern,No,Center,Ad,Well-Defined
Notification Bar,Small,Hover,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Exit Popup,Thin,Hover,Basic,No,Top Right,Survey,Ambiguous
Notification Bar,Small,Timer,Flat,No,Bottom Left,Help,Less Well-Defined
Slide-in,Small,On Load,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Dialog,Large,Scroll,Bold,No,Top,Recommendation,Well-Defined
Notification Bar,Medium,Timer,Clean,Yes,Bottom,Help,Less Well-Defined
Tooltip,Thin,Timer,Aggressive,No,Top,Reminder,Ambiguous
Exit Popup,Medium,Hover,Flat,Yes,Center,Ad,Ambiguous
Floating Box,Small,Page Load,Intrusive,No,Top Right,Reminder,Ambiguous
Slide-in,Small,Hover,Flat,Yes,Top,Reminder,Ambiguous
Tooltip,Medium,Hover,Basic,Yes,Top Right,Survey,Ambiguous
Banner,Small,Timer,Flat,No,Top Left,Newsletter,Less Well-Defined
Dialog,Large,Exit Intent,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Slide-in,Medium,Hover,Clean,Yes,Bottom,Help,Less Well-Defined
Notification Bar,Small,Timer,Clean,No,Bottom,Newsletter,Less Well-Defined
Modal,Medium,Scroll,Modern,No,Bottom Right,Ad,Well-Defined
Fullscreen,Medium,On Load,Bold,Yes,Full Page,Recommendation,Well-Defined
Banner,Medium,On Load,Simple,Yes,Top Left,Offer,Less Well-Defined
Slide-in,Medium,Hover,Clean,No,Bottom Left,Newsletter,Less Well-Defined
Exit Popup,Thin,Page Load,Intrusive,No,Top Right,Help,Ambiguous
Fullscreen,Medium,Scroll,Bold,Yes,Bottom Right,Alert,Well-Defined
Modal,Medium,Click,Clean,Yes,Full Page,Alert,Well-Defined
Dialog,Small,On Load,Clean,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Small,On Load,Simple,Yes,Top Left,Newsletter,Less Well-Defined
Notification Bar,Medium,Hover,Flat,No,Bottom,Help,Less Well-Defined
Dialog,Small,Hover,Bold,No,Top Left,Help,Less Well-Defined
Dialog,Medium,Scroll,Modern,No,Center,Alert,Well-Defined
Exit Popup,Thin,Timer,Aggressive,Yes,Center,Reminder,Ambiguous
Dialog,Large,Click,Bold,No,Full Page,Recommendation,Well-Defined
Fullscreen,Large,Exit Intent,Modern,Yes,Top,Ad,Well-Defined
Banner,Small,Timer,Flat,No,Bottom Left,Discount,Less Well-Defined
Tooltip,Thin,Page Load,Aggressive,No,Top Right,Survey,Ambiguous
Dialog,Small,Timer,Bold,Yes,Bottom,Help,Less Well-Defined
Modal,Large,Click,Modern,Yes,Full Page,Ad,Well-Defined
Notification Bar,Small,Hover,Flat,No,Top Left,Discount,Less Well-Defined
Dialog,Medium,Exit Intent,Clean,Yes,Full Page,Ad,Well-Defined
Fullscreen,Large,Exit Intent,Modern,Yes,Center,Ad,Well-Defined
Banner,Large,On Load,Soft,No,Bottom Right,Recommendation,Well-Defined
Fullscreen,Large,Exit Intent,Clean,No,Center,Recommendation,Well-Defined
Notification Bar,Medium,Timer,Bold,No,Bottom Left,Offer,Less Well-Defined
Banner,Small,Timer,Bold,No,Top Left,Discount,Less Well-Defined
Exit Popup,Thin,Page Load,Basic,No,Top Right,Survey,Ambiguous
Modal,Medium,Click,Bold,No,Center,Ad,Well-Defined
Exit Popup,Small,Hover,Aggressive,No,Top,Survey,Ambiguous
Modal,Large,Scroll,Clean,Yes,Full Page,Recommendation,Well-Defined
Slide-in,Thin,Timer,Aggressive,No,Center,Ad,Ambiguous
Modal,Large,Click,Clean,No,Bottom Right,Ad,Well-Defined
Exit Popup,Thin,Timer,Basic,No,Center,Survey,Ambiguous
Slide-in,Medium,On Load,Simple,No,Top Left,Discount,Less Well-Defined
Banner,Medium,Timer,Bold,No,Top Left,Newsletter,Less Well-Defined
Dialog,Medium,Click,Clean,No,Bottom Right,Alert,Well-Defined
Slide-in,Small,Hover,Basic,No,Center,Ad,Ambiguous
Banner,Large,Scroll,Modern,Yes,Center,Offer,Well-Defined
Floating Box,Medium,Hover,Basic,No,Top Right,Ad,Ambiguous
Tooltip,Thin,Hover,Flat,Yes,Center,Survey,Ambiguous
Modal,Medium,Exit Intent,Soft,No,Center,Alert,Well-Defined
Fullscreen,Medium,Exit Intent,Bold,Yes,Center,Alert,Less Well-Defined
Floating Box,Small,Timer,Basic,No,Center,Help,Ambiguous
Dialog,Medium,Click,Bold,Yes,Full Page,Offer,Well-Defined
Modal,Large,Scroll,Modern,Yes,Center,Ad,Well-Defined
Slide-in,Small,Timer,Intrusive,Yes,Top Right,Help,Ambiguous
Slide-in,Small,On Load,Bold,Yes,Top Left,Newsletter,Less Well-Defined
Notification Bar,Medium,Timer,Simple,No,Top Left,Offer,Less Well-Defined
Tooltip,Small,Timer,Basic,Yes,Center,Reminder,Ambiguous
Modal,Large,Exit Intent,Clean,Yes,Center,Offer,Well-Defined
Dialog,Medium,Scroll,Soft,Yes,Center,Ad,Well-Defined
Fullscreen,Large,Click,Clean,Yes,Full Page,Ad,Well-Defined
Modal,Large,Exit Intent,Bold,No,Top,Ad,Well-Defined
